relationship_id,source_id,relationship_type,target_id,date,source_record,confidence,properties
R0001,P001,LIVES_AT,L001,,PERSON-REG-001,0.92,{}
R0002,P001,MEMBER_OF,ORG001,,PERSON-REG-001,0.92,{}
R0003,P002,LIVES_AT,L003,,PERSON-REG-002,0.92,{}
R0004,P002,MEMBER_OF,ORG002,,PERSON-REG-002,0.92,{}
R0005,P003,LIVES_AT,L005,,PERSON-REG-003,0.92,{}
R0006,P003,MEMBER_OF,ORG003,,PERSON-REG-003,0.92,{}
R0007,P004,LIVES_AT,L007,,PERSON-REG-004,0.92,{}
R0008,P004,MEMBER_OF,ORG004,,PERSON-REG-004,0.92,{}
R0009,P005,LIVES_AT,L009,,PERSON-REG-005,0.92,{}
R0010,P005,MEMBER_OF,ORG005,,PERSON-REG-005,0.92,{}
R0011,P006,LIVES_AT,L011,,PERSON-REG-006,0.92,{}
R0012,P006,MEMBER_OF,ORG101,,PERSON-REG-006,0.92,{}
R0013,P007,LIVES_AT,L013,,PERSON-REG-007,0.92,{}
R0014,P007,MEMBER_OF,ORG102,,PERSON-REG-007,0.92,{}
R0015,P008,LIVES_AT,L015,,PERSON-REG-008,0.92,{}
R0016,P008,MEMBER_OF,ORG001,,PERSON-REG-008,0.92,{}
R0017,P009,LIVES_AT,L017,,PERSON-REG-009,0.92,{}
R0018,P009,MEMBER_OF,ORG002,,PERSON-REG-009,0.92,{}
R0019,P010,LIVES_AT,L019,,PERSON-REG-010,0.92,{}
R0020,P010,MEMBER_OF,ORG003,,PERSON-REG-010,0.92,{}
R0021,P011,LIVES_AT,L021,,PERSON-REG-011,0.92,{}
R0022,P011,MEMBER_OF,ORG004,,PERSON-REG-011,0.92,{}
R0023,P012,LIVES_AT,L023,,PERSON-REG-012,0.92,{}
R0024,P012,MEMBER_OF,ORG005,,PERSON-REG-012,0.92,{}
R0025,P013,LIVES_AT,L001,,PERSON-REG-013,0.92,{}
R0026,P013,MEMBER_OF,ORG101,,PERSON-REG-013,0.92,{}
R0027,P014,LIVES_AT,L003,,PERSON-REG-014,0.92,{}
R0028,P014,MEMBER_OF,ORG102,,PERSON-REG-014,0.92,{}
R0029,P015,LIVES_AT,L005,,PERSON-REG-015,0.92,{}
R0030,P015,MEMBER_OF,ORG001,,PERSON-REG-015,0.92,{}
