case_id,case_number,crime_type,primary_location_id,involved_person_ids,source_record
C001,CASE-2026-001,Fraud,L004,P003;P006;P010,CASE-REG-001
C002,CASE-2026-002,Extortion,L007,P005;P008;P012,CASE-REG-002
C003,CASE-2026-003,Robbery,L010,P007;P010;P014,CASE-REG-003
C004,CASE-2026-004,Theft,L013,P009;P012;P016,CASE-REG-004
C005,CASE-2026-005,Fraud,L016,P011;P014;P018,CASE-REG-005
C006,CASE-2026-006,Extortion,L019,P013;P016;P020,CASE-REG-006
C007,CASE-2026-007,Robbery,L022,P015;P018;P022,CASE-REG-007
C008,CASE-2026-008,Theft,L001,P017;P020;P024,CASE-REG-008
C009,CASE-2026-009,Fraud,L004,P019;P022;P102,CASE-REG-009
C010,CASE-2026-010,Extortion,L007,P021;P024;P104,CASE-REG-010
C011,CASE-2026-011,Robbery,L010,P023;P102;P106,CASE-REG-011
C012,CASE-2026-012,Theft,L013,P101;P104;P002,CASE-REG-012
C013,CASE-2026-013,Fraud,L016,P103;P106;P004,CASE-REG-013
C014,CASE-2026-014,Extortion,L019,P105;P002;P006,CASE-REG-014
C015,CASE-2026-015,Robbery,L022,P001;P004;P008,CASE-REG-015
C016,CASE-2026-016,Theft,L001,P003;P006;P010,CASE-REG-016
C017,CASE-2026-017,Fraud,L004,P005;P008;P012,CASE-REG-017
C018,CASE-2026-018,Extortion,L007,P007;P010;P014,CASE-REG-018
