relationship_id,source_id,relationship_type,target_id,date,source_record,confidence,properties
R001,P017,ASSOCIATED_WITH,P021,,C001,0.95,{}
R002,P017,USED,PH001,,C001,0.95,{}
R003,P002,CALLED,P017,,C002,0.95,{}
R004,P002,USED,PH003,,C002,0.95,{}
R005,P015,ASSOCIATED_WITH,P002,,C003,0.95,{}
R006,P015,USED,PH004,,C003,0.95,{}
R007,P021,ASSOCIATED_WITH,P015,,C004,0.95,{}
R008,P016,ASSOCIATED_WITH,P015,,C005,0.95,{}
R009,P016,USED,PH006,,C005,0.95,{}
R010,P012,CALLED,P016,,C006,0.95,{}
R011,P012,USED,PH007,,C006,0.95,{}
R012,P003,ASSOCIATED_WITH,P012,,C007,0.95,{}
R013,P003,USED,PH008,,C007,0.95,{}
R014,P008,ASSOCIATED_WITH,P003,,C008,0.95,{}
R015,P020,ASSOCIATED_WITH,P008,,C009,0.95,{}
R016,P020,USED,PH010,,C009,0.95,{}
R017,P024,CALLED,P020,,C010,0.95,{}
R018,P024,USED,PH011,,C010,0.95,{}
R019,P011,ASSOCIATED_WITH,P024,,C011,0.95,{}
R020,P011,USED,PH012,,C011,0.95,{}
R021,P001,ASSOCIATED_WITH,P011,,C012,0.95,{}
R022,P014,ASSOCIATED_WITH,P001,,C013,0.95,{}
R023,P014,USED,PH014,,C013,0.95,{}
R024,P010,CALLED,P014,,C014,0.95,{}
R025,P010,USED,PH015,,C014,0.95,{}
R026,P005,ASSOCIATED_WITH,P010,,C015,0.95,{}
R027,P019,ASSOCIATED_WITH,P005,,C016,0.95,{}
R028,P004,ASSOCIATED_WITH,P019,,C017,0.95,{}
R029,P004,USED,PH001,,C017,0.95,{}
R030,P018,CALLED,P004,,C018,0.95,{}
R031,P018,USED,PH002,,C018,0.95,{}
R032,P009,ASSOCIATED_WITH,P018,,C019,0.95,{}
R033,P023,ASSOCIATED_WITH,P009,,C020,0.95,{}
R034,P007,ASSOCIATED_WITH,P023,,C021,0.95,{}
R035,P007,USED,PH004,,C021,0.95,{}
R036,P013,CALLED,P007,,C022,0.95,{}
R037,P013,USED,PH005,,C022,0.95,{}
R038,P022,ASSOCIATED_WITH,P013,,C023,0.95,{}
R039,P006,ASSOCIATED_WITH,P022,,C024,0.95,{}
R040,P017,ASSOCIATED_WITH,P002,,C025,0.95,{}
R041,P017,USED,PH007,,C025,0.95,{}
R042,P021,CALLED,P016,,C026,0.95,{}
R043,P021,USED,PH008,,C026,0.95,{}
